name,brand_name,class,subtype,dose,cost_estimate,default_score,summary,effectiveness,no_daily,self_stop,no_hormones,no_estrogen,lighter,predictable,quick_return,private,sti,cramps_acne,cost
Diaphragm with spermicide,Caya,Barrier,all,Reusable for about 2 years,$0-90,2,"Hormone-free and reusable, inserted before sex. Needs a prescription and raises the risk of urinary tract infection.",2,2,4,5,5,1,5,5,3,1,1,4
Vaginal gel,Phexxi,Barrier,all,One dose before each act,$0-270,2,"Hormone-free and used only when needed. The least effective prescription option, and expensive without coverage.",1,2,4,5,5,1,5,5,3,1,1,2
Spermicide or sponge,Today Sponge,Barrier,all,One per act of sex,$10-25,1,"Available off the shelf and hormone-free, but the failure rate is high enough that it works best paired with something else.",1,2,5,5,5,1,5,5,3,1,1,4
Fertility awareness,Various apps and methods,Behavioral,all,Daily tracking,$0-15,2,"No devices, no hormones, nothing to obtain. It requires regular cycles, daily tracking, and abstaining or using a barrier on fertile days.",1,1,5,5,5,1,5,5,3,1,1,5
Withdrawal,None,Behavioral,all,Every act of sex,$0,1,"Free and always available. It depends entirely on a cooperative partner and about one in four people using it get pregnant in a year.",1,2,5,5,5,1,5,5,1,1,1,5
Tubal ligation,None,Permanent,all,One surgical procedure,"$0-6,000",3,"Permanent and highly effective. Requires anesthesia and up to two weeks of recovery, and it should be treated as irreversible.",5,5,1,5,5,1,5,1,5,1,1,3
Vasectomy,None,Permanent,all,One outpatient procedure,"$0-1,000",3,"Simpler, cheaper, and safer than tubal ligation, with about two days of recovery. Also permanent. Requires a partner willing to have it done.",5,5,1,5,5,1,5,1,5,1,1,4
Levonorgestrel-ethinyl estradiol 0.1/20,Aviane or Lutera,Monophasic 21/7,pills,0.1 mg / 20 mcg daily,$0-15,5,"A reasonable default. The lowest common estrogen dose, which means fewer estrogen side effects and a bit more spotting in the first few months.",3,1,4,1,1,3,5,5,3,1,5,5
Norgestimate-ethinyl estradiol 0.25/35,Sprintec,Monophasic 21/7,pills,0.25 mg / 35 mcg daily,$0-15,5,"The other common opener. The higher estrogen dose gives steadier cycle control than a 20 mcg pill, and norgestimate carries an FDA acne indication.",3,1,4,1,1,3,5,5,3,1,5,5
Norethindrone acetate-ethinyl estradiol 1/20,Junel Fe 24 or Loestrin 24,Monophasic 24/4,pills,1 mg / 20 mcg daily,$0-20,5,"Only four hormone-free days instead of seven, which suppresses the ovaries more completely and cuts the headaches and mood dips that cluster in the placebo week.",4,1,4,1,1,4,5,5,3,1,5,5
Drospirenone-ethinyl estradiol 3/0.02,Yaz or Gianvi,Monophasic 24/4,pills,3 mg / 20 mcg daily,$0-25,4,"The only pill approved for premenstrual dysphoric disorder. Drospirenone spares potassium, so check a level if the person takes anything else that raises it.",4,1,4,1,1,4,5,5,3,1,5,4
Drospirenone-ethinyl estradiol 3/0.03,Yasmin or Ocella,Monophasic 21/7,pills,3 mg / 30 mcg daily,$0-25,3,"The 21/7 version of Yaz at a higher estrogen dose. Better cycle control, more placebo-week symptoms.",3,1,4,1,1,3,5,5,3,1,5,4
Norgestimate-ethinyl estradiol triphasic,Tri-Sprintec,Triphasic,pills,Doses step up across the pack,$0-15,3,"No proven advantage over a monophasic pill. The pills must be taken in order and the pack cannot be run continuously.",3,1,4,1,1,3,5,5,3,1,5,5
Levonorgestrel-ethinyl estradiol 84/7,Seasonique or Amethia,Extended cycle,pills,84 active then 7 low-dose,$10-40,4,"Four withdrawal bleeds a year instead of thirteen. Expect more spotting for the first few months, settling by about six.",4,1,4,1,1,4,4,5,3,1,4,4
Levonorgestrel-ethinyl estradiol 90/20,Amethyst,Continuous,pills,One active tablet every day,$15-45,3,"No placebo week at all, and usually no periods. Unscheduled spotting is common for the first three to six months, then settles.",4,1,4,1,1,5,2,5,3,1,5,3
Estradiol valerate-dienogest,Natazia,Multiphasic,pills,Four-phase pack,$30-90,2,"Uses estradiol rather than ethinyl estradiol, which appears gentler on clotting factors and lipids. Four-phase dosing, nine days of backup at start, and no generic.",3,1,4,1,1,4,4,5,3,1,4,2
Estetrol-drospirenone,Nextstellis,Monophasic 24/4,pills,14.2 mg / 3 mg daily,$40-100,2,"A newer estrogen with less effect on liver clotting proteins in short studies. No long-term outcome data and no generic.",4,1,4,1,1,4,5,5,3,1,4,2
Norethindrone 0.35 mg,Camila or Errin,Progestin-only,pills,One tablet daily,$0-20,3,"Estrogen-free, so it works with a clot history, migraine with aura, or hypertension. It has to land in the same three-hour window every day, and about half of users still ovulate.",2,1,4,1,5,2,1,5,3,1,2,5
Drospirenone 4 mg,Slynd,Progestin-only,pills,24 active then 4 inert,$30-90,3,"Estrogen-free but suppresses ovulation like a combined pill, and forgives a dose up to 24 hours late. No generic, and watch potassium.",3,1,4,1,5,3,2,5,3,1,3,2
Norgestrel 0.075 mg,Opill,Progestin-only,pills,One tablet daily,$15-25,3,"The only pill sold over the counter in the US. No prescription, no exam, no blood pressure check. Estrogen-free, taken at the same time daily.",3,1,5,1,5,2,1,5,3,1,2,4
